AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
bamboo spine,'Bamboo' spine,Finding,C1970123,,,
mcpa-isooctyl,(4-chloro-2-methylphenoxy)acetic acid isooctyl ester,Organic Chemical|Pharmacologic Substance,C0625364,,,
osteochondrosis of spine,"[X]Spinal osteochondrosis, unspecified",Disease or Syndrome,C0477611,,,
z-pak,{6 (Azithromycin 250 MG Oral Tablet [Zithromax]) } Pack [Z-PAKS],Drug Delivery Device,C1878682,,,
total protein,% of total protein,Quantitative Concept,C0439177,,,
proof,% proof,Quantitative Concept,C0556981,,,
dep,1-(2-(dodecyloxy)ethyl)pyrrolidine hydrochloride,Organic Chemical|Pharmacologic Substance,C0057472,,,
siponimod,1-(4-(1-((E)-4-cyclohexyl-3-trifluoromethylbenzyloxyimino)-ethyl)-2-ethylbenzyl)-azetidine-3-carboxylic acid,Organic Chemical|Immunologic Factor|Pharmacologic Substance,C3657824,,,
1-hexanol,1-hexanol,Organic Chemical|Pharmacologic Substance,C0044399,,,
1-hydroxypyrene,1-hydroxypyrene,Organic Chemical|Hazardous or Poisonous Substance,C0044415,,,
nmp,1-methyl-2-pyrrolidinone,Organic Chemical|Hazardous or Poisonous Substance,C0044438,,,
mptp,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Organic Chemical|Hazardous or Poisonous Substance,C0000097,,,
uml,1-methyllysergic acid butanolamide,Organic Chemical,C0616474,,,
1-octanol,1-Octanol,Organic Chemical,C0044551,,,
pope,1-palmitoyl-2-oleoylphosphatidylethanolamine,Organic Chemical,C0044577,,,
pi3 kinase,1-Phosphatidylinositol 3-Kinase,"Amino Acid, Peptide, or Protein|Enzyme",C0044602,,,
pi3k,1-Phosphatidylinositol 3-Kinase,"Amino Acid, Peptide, or Protein|Enzyme",C0044602,,,
toto,"1,1'-(4,4,7,7-tetramethyl-4,7-diazaundecamethylene)bis-4-(3-methyl-2,3-dihydro(benzo-1,3-thiazole)-2-methylidene)quinolinium","Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0169568,,,
benzisothiazolinone,"1,2-benzisothiazoline-3-one",Organic Chemical|Pharmacologic Substance,C0043773,,,
dspe,"1,2-distearoylphosphatidylethanolamine",Organic Chemical,C0043851,,,
caprylyl glycol,"1,2-octanediol",Organic Chemical|Pharmacologic Substance,C1828708,,,
mme,"1,2,3,4,9,9-hexachloro-1,4,4a,5,8,8a-hexahydro-6- methyl-6,7-epoxy-1,4-methanonaphthalene",Organic Chemical,C0066662,,,
dmdm hydantoin,"1,3-dimethylol-5,5-dimethylhydantoin",Organic Chemical|Pharmacologic Substance,C0043940,,,
theacrine,"1,3,7,9-tetramethyluric acid",Organic Chemical|Pharmacologic Substance,C0654300,,,
1 and 2,1/2,Intellectual Product,C0580272,,,
10-deacetylbaccatin iii,10-deacetylbaccatine III,Organic Chemical,C0089965,,,
104,104,Quantitative Concept,C4517527,,,
110,110,Quantitative Concept,C4517536,,,
118,118,Quantitative Concept,C4517542,,,
12 lead ekg,12 lead ECG,Diagnostic Procedure,C0430456,,,
126,126,Quantitative Concept,C0470256,,,
nab-paclitaxel,130-nm albumin-bound paclitaxel,Organic Chemical|Pharmacologic Substance,C1527223,,,
133,133,Quantitative Concept,C4517563,,,
135,135,Quantitative Concept,C4517566,,,
14-3-3,14-3-3 Proteins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0090388,,,
1600s,1600,Temporal Concept,C4517592,,,
1800,1800s,Temporal Concept,C0681738,,,
1830,1830s,Temporal Concept,C0681741,,,
1890,1890s,Temporal Concept,C0681747,,,
18f-naf,18F-NaF,"Indicator, Reagent, or Diagnostic Aid|Inorganic Chemical",C4266448,,,
1900,1900s,Temporal Concept,C0681749,,,
1920,1920s,Temporal Concept,C0681751,,,
1920s,1920s,Temporal Concept,C0681751,,,
1930,1930s,Temporal Concept,C0681752,,,
1940s,1940s,Temporal Concept,C0681753,,,
1940,1940s,Temporal Concept,C0681753,,,
1950,1950s,Temporal Concept,C0681754,,,
1958,1958,Temporal Concept,C0456587,,,
1960s,1960s,Temporal Concept,C0681755,,,
1960,1960s,Temporal Concept,C0681755,,,
1970,1970s,Temporal Concept,C0681756,,,
1990,1990s,Temporal Concept,C0681758,,,
1992,1992,Temporal Concept,C0456592,,,
19th century,19th century,Temporal Concept,C0681737,,,
2d,2 Days,Temporal Concept,C1442455,,,
tns,2-(4-toluidino)-6-naphthalenesulfonic acid,Organic Chemical|Pharmacologic Substance,C0045733,,,
acnd,"2-acetamido-1,5-naphthalenedisulfonate",Organic Chemical,C0647760,,,
phip,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",Organic Chemical|Hazardous or Poisonous Substance,C0045811,,,
mcpa,2-Methyl-4-chlorophenoxyacetic Acid,Organic Chemical|Hazardous or Poisonous Substance,C0024994,,,
methylisothiazolinone,2-methyl-4-isothiazolin-3-one,Organic Chemical|Pharmacologic Substance,C0046343,,,
mmt,2-methylcyclopentadienyl manganese tricarbonyl,Organic Chemical,C0046370,,,
2-methylfuran,2-methylfuran,Organic Chemical,C0046379,,,
2-octyl-4-isothiazolin-3-one,2-n-octyl-4-isothiazolin-3-one,Organic Chemical|Pharmacologic Substance,C0046404,,,
sinapoyl malate,2-O-sinapoylmalate,Organic Chemical,C0656732,,,
tbhq,2-tert-butylhydroquinone,Organic Chemical|Pharmacologic Substance,C0046563,,,
thbq,2-tert-butylhydroquinone,Organic Chemical|Pharmacologic Substance,C0046563,,,
dnp,"2,4-Dinitrophenol","Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0045511,,,
thiazolidinedione,"2,4-thiazolidinedione",Organic Chemical|Pharmacologic Substance,C0289779,,,
tabac,"2,4,6-triiodo-3-acetamidobenzoic acid (N-cyclohexylcarbamyloxy)ethyl ester","Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0045439,,,
doms,"2,5-Dimethoxy-4-methylamphetamine",Organic Chemical|Hazardous or Poisonous Substance,C0013007,,,
dnt,"2,6-dinitrotoluene",Organic Chemical|Hazardous or Poisonous Substance,C0045622,,,
deoxythymidine,2'-Deoxythymidine,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance",C0086126,,,
dideoxyadenosine,"2',3'-Dideoxyadenosine","Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0012131,,,
mca,20-Methylcholanthrene,Organic Chemical|Hazardous or Poisonous Substance,C0000325,,,
mcas,20-Methylcholanthrene,Organic Chemical|Hazardous or Poisonous Substance,C0000325,,,
2010,2010s,Temporal Concept,C0681761,,,
2020,2020s,Temporal Concept,C0681762,,,
20th century,20th century,Temporal Concept,C0681748,,,
21st century,21st century,Temporal Concept,C0681759,,,
22q,22q,Nucleotide Sequence,C1521100,,,
22q11,22q11,Cell Component,C1521101,,,
plural uses,24-month milestones: uses plurals,Finding,C2182753,,,
olan,"24,25-oxidolanosterol",Organic Chemical,C0046677,,,
28s,28s,"Body Part, Organ, or Organ Component",C1552142,,,
2q,2q,Nucleotide Sequence,C1521197,,,
hsdb,3 beta-Hydroxysteroid dehydrogenase deficiency,Disease or Syndrome,C0342471,,,
pems,3-(2-phenylethyl)-4-methylsydnone,Organic Chemical,C0047130,,,
meldonium,"3-(2,2,2-trimethylhydrazine)propionate",Organic Chemical|Pharmacologic Substance,C0047115,,,
mildronate,"3-(2,2,2-trimethylhydrazine)propionate",Organic Chemical|Pharmacologic Substance,C0047115,,,
mpda,3-(2'-pyridyldithio)benzyldiazoacetate,Organic Chemical,C0634473,,,
ands,"3-azido-2,7-naphthalene disulfonate",Organic Chemical,C0047247,,,
beta hydroxybutyrate,3-Hydroxybutyrate,Organic Chemical|Biologically Active Substance,C0106006,,,
3-hydroxybutyric acid,3-Hydroxybutyric Acid,Organic Chemical,C0047456,,,
beta-hydroxybutyric acid,3-Hydroxybutyric Acid,Organic Chemical,C0047456,,,
iodopropynyl butylcarbamate,3-iodo-2-propynylbutylcarbamate,Organic Chemical|Pharmacologic Substance,C0540209,,,
mibg,3-Iodobenzylguanidine,"Organic Chemical|Pharmacologic Substance|Indicator, Reagent, or Diagnostic Aid",C0047506,,,
stress and heart rate,3-lead electrocardiogram rhythm strip: heart rate with stress,Finding,C2059771,,,
barth syndrome,3-Methylglutaconic aciduria type 2,Disease or Syndrome,C0574083,,,
butylphthalide,3-n-butylphthalide,Organic Chemical,C0047625,,,
tropinone,3-tropinone,Organic Chemical,C0047727,,,
diindolylmethane,"3,3'-diindolylmethane",Organic Chemical|Pharmacologic Substance|Organic Chemical|Pharmacologic Substance,C0163151,,,
mda,"3,4-Methylenedioxyamphetamine",Organic Chemical|Hazardous or Poisonous Substance,C0000379,,,
mdas,"3,4-Methylenedioxyamphetamine",Organic Chemical|Hazardous or Poisonous Substance,C0000379,,,
dita,"3',4'-dichloro-2-(2-imidazolin-2-ylthio)acetophenone (DITA)",Organic Chemical|Pharmacologic Substance,C0058486,,,
3d printer,3D Printer,Manufactured Object,C3852948,,,
3t3 cell,3T3 Cells,Cell,C0085087,,,
ctpa,"4-((1,4,8,11-tetraazacyclotetradec-1-yl)methyl)benzoic acid","Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0651007,,,
dasotraline,"4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydronaphthalen-1-amine",Organic Chemical|Hazardous or Poisonous Substance,C4276542,,,
raspberry ketone,4-(p-hydroxyphenyl)-2-butanone,Organic Chemical,C0616813,,,
phenibut,4-amino-3-phenylbutyric acid,Organic Chemical|Pharmacologic Substance,C0048007,,,
fenibut,4-amino-3-phenylbutyric acid,Organic Chemical|Pharmacologic Substance,C0048007,,,
hads,4-amino-4'-hydroxylaminodiphenylsulfone,Organic Chemical,C0048008,,,
4 amino benzoic acid,4-Aminobenzoic Acid,Organic Chemical|Vitamin|Pharmacologic Substance,C0000473,,,
p-aminobenzoic acid,4-Aminobenzoic Acid,Organic Chemical|Vitamin|Pharmacologic Substance,C0000473,,,
paba,4-Aminobenzoic Acid,Organic Chemical|Vitamin|Pharmacologic Substance,C0000473,,,
pah,4-Aminohippuric Acid,"Organic Chemical|Pharmacologic Substance|Indicator, Reagent, or Diagnostic Aid",C0030123,,,
pahs,4-Aminohippuric Acid,"Organic Chemical|Pharmacologic Substance|Indicator, Reagent, or Diagnostic Aid",C0030123,,,
pdb,4-dichlorobenzene,Organic Chemical|Hazardous or Poisonous Substance,C0048243,,,
para fluoroamphetamine,4-fluoroamphetamine,Organic Chemical|Pharmacologic Substance,C0048271,,,
tyrosol,4-hydroxyphenylethanol,Organic Chemical|Pharmacologic Substance,C0048386,,,
4-nitrophenol,4-nitrophenol,"Organic Chemical|Indicator, Reagent, or Diagnostic Aid|Hazardous or Poisonous Substance",C0048581,,,
nppc,4-nitrophenylphosphorylcholine,Organic Chemical,C0048628,,,
pba,4-phenylbutyric acid,Organic Chemical|Pharmacologic Substance,C0170531,,,
p-phenylenediamine,4-phenylenediamine,"Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0048678,,,
ma t,"4,4-dimethylcholesta-8,14-dien-3-ol",Organic Chemical,C0648802,,,
4500,4500,Quantitative Concept,C4517780,,,
xx male syndrome,"46, XX Testicular Disorders of Sex Development",Congenital Abnormality,C2936419,,,
xx,46XX,Organism Attribute,C0450371,,,
jacob syndrome,"47, XYY syndrome",Disease or Syndrome,C3266843,,,
xyy syndrome,"47, XYY syndrome",Disease or Syndrome,C3266843,,,
syndrome jacob,"47, XYY syndrome",Disease or Syndrome,C3266843,,,
syndrome xyy,"47, XYY syndrome",Disease or Syndrome,C3266843,,,
penta x syndrome,"49,XXXXX syndrome",Disease or Syndrome,C0265497,,,
galavit,"5-amino-1,2,3,4-tetrahydrophthalazine-1,4-dione, sodium salt, dihydrate",Organic Chemical,C1722800,,,
methylchloroisothiazolinone,5-chloro-2-methyl-4-isothiazolin-3-one,Organic Chemical|Pharmacologic Substance,C0049104,,,
5 htp,5-Hydroxytryptophan,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C0000578,,,
5-htp,5-Hydroxytryptophan,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C0000578,,,
methyl folate,5-methyltetrahydrofolate,Organic Chemical|Vitamin|Pharmacologic Substance,C0049315,,,
tma,5-Trimethoxyamphetamine,Organic Chemical|Pharmacologic Substance,C0301363,,,
mthf,"5,10-methylenetetrahydrofolate",Organic Chemical|Vitamin|Pharmacologic Substance,C0048858,,,
siba,5'-deoxy-5'-S-isobutylthioadenosine,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0048806,,,
cd73,5'-NUCLEOTIDASE,"Immunologic Factor|Amino Acid, Peptide, or Protein|Enzyme",C0000530,,,
6mwt,6 Minute Walk Functional Test,Intellectual Product,C3900196,,,
acidum aminocaproicum,6-Aminocaproic Acid,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0000608,,,
2-ethyl-6-methyl-3-pyridinol,6-methyl-2-ethyl-3-hydroxypyridine,Organic Chemical|Pharmacologic Substance,C0049648,,,
emoxypine,6-methyl-2-ethyl-3-hydroxypyridine,Organic Chemical|Pharmacologic Substance,C0049648,,,
6 minute walk test,6-Minute Walk Test,Diagnostic Procedure,C0430515,,,
6 minute walking test,6-Minute Walk Test,Diagnostic Procedure,C0430515,,,
bdd,"7,7'-dimethoxy-(4,4'-bi-1,3-benzodioxole)-5,5'-dicarboxylic acid dimethyl ester",Organic Chemical|Pharmacologic Substance,C0049759,,,
8-heptadecene,8-heptadecene,Organic Chemical,C1175685,,,
8000,8000,Quantitative Concept,C3840857,,,
9p21,9p21,Cell Component,C1515498,,,
9q34,9q34,Cell Component,C1515529,,,
a1c,A1C -- test,Diagnostic Procedure,C4291676,,,
a1c test,A1C -- test,Diagnostic Procedure,C4291676,,,
aa genotype,AA genotype,Finding,C4554792,,,
aac,AACS gene,Gene or Genome,C1427475,,,
aarskog,Aarskog syndrome,Disease or Syndrome,C0175701,,,
aas,Aarskog syndrome,Disease or Syndrome,C0175701,,,
aarskog-scott syndrome,Aarskog syndrome,Disease or Syndrome,C0175701,,,
diamond blackfan anemia,Aase syndrome,Disease or Syndrome,C0265265,,,
diamond-blackfan anemia,Aase syndrome,Disease or Syndrome,C0265265,,,
aav,AAVS1 gene,Gene or Genome,C1412056,,,
neuts abs,Ab.Neut,Immunologic Factor,C4266377,,,
abacavir sulfate,abacavir sulfate,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C0724515,,,
abamectin,abamectin,Organic Chemical|Pharmacologic Substance,C0066646,,,
abat,ABAT gene,Gene or Genome,C1412057,,,
abbreviation,Abbreviations,Intellectual Product,C0000723,,,
abbreviations,Abbreviations,Intellectual Product,C0000723,,,
abca1,ABCA1 gene,Gene or Genome,C1412058,,,
abca12,ABCA12 gene,Gene or Genome,C1422805,,,
abca4,ABCA4 gene,Gene or Genome,C1412063,,,
abcr,ABCA4 gene,Gene or Genome,C1412063,,,
abca7,ABCA7 gene,Gene or Genome,C1412066,,,
abcb1,ABCB1 gene,Gene or Genome,C0376622,,,
abcb1 gene,ABCB1 gene,Gene or Genome,C0376622,,,
mdr1 gene,ABCB1 gene,Gene or Genome,C0376622,,,
mdr1,ABCB1 gene,Gene or Genome,C0376622,,,
abcb5,ABCB5 gene,Gene or Genome,C1412072,,,
abcc4,ABCC4 gene,Gene or Genome,C1412079,,,
bcrp,ABCG2 gene,Gene or Genome,C1332002,,,
abcg2,"ABCG2 protein, human","Amino Acid, Peptide, or Protein|Biologically Active Substance",C0761993,,,
abdomen,Abdomen,Body Location or Region,C0000726,,,
abdominal,Abdomen,Body Location or Region,C0000726,,,
abdominal distension,Abdomen distended,Finding,C0000731,,,
bloating,Abdomen distended,Finding,C0000731,,,
abdominal incision,Abdomen incision,Therapeutic or Preventive Procedure,C0198488,,,
abdomen acute,"Abdomen, Acute",Sign or Symptom,C0000727,,,
acute abdomen,"Abdomen, Acute",Sign or Symptom,C0000727,,,
abdominal abscess,Abdominal Abscess,Disease or Syndrome,C0243001,,,
abdominal adhesions,Abdominal adhesions,Acquired Abnormality,C0549357,,,
abdominal aorta,Abdominal aorta structure,"Body Part, Organ, or Organ Component",C0003484,,,
colic,Abdominal colic,Finding,C0232488,,,
abdominal fat,Abdominal Fat,Tissue,C1563742,,,
abdominal girth measurement,Abdominal girth measurement,Health Care Activity,C0232501,,,
abdominal hysterectomy,Abdominal hysterectomy,Therapeutic or Preventive Procedure,C0404077,,,
intra-abdominal mass,Abdominal mass,Finding,C0000734,,,
abdominal migraine,Abdominal Migraine,Disease or Syndrome,C0270858,,,
abdominal wall muscles,Abdominal Muscles,"Body Part, Organ, or Organ Component",C0000739,,,
abdomen pain,Abdominal Pain,Sign or Symptom,C0000737,,,
abdominal pain,Abdominal Pain,Sign or Symptom,C0000737,,,
stomach pain,Abdominal Pain,Sign or Symptom,C0000737,,,
pain in the stomach,Abdominal Pain,Sign or Symptom,C0000737,,,
stomach pains,Abdominal Pain,Sign or Symptom,C0000737,,,
children with abdominal pain,Abdominal pain in children,Sign or Symptom,C3826804,,,
sepsis abdominal,Abdominal sepsis,Disease or Syndrome,C1141926,,,
pouch,Abdominal skin pouch,"Body Part, Organ, or Organ Component",C0222017,,,
abdominal tuberculosis,Abdominal tuberculosis,Disease or Syndrome,C4087490,,,
abdominoperineal resection,Abdominoperineal resection,Therapeutic or Preventive Procedure,C2004459,,,
abdominoplasty,Abdominoplasty (procedure),Therapeutic or Preventive Procedure,C0198542,,,
okra,Abelmoschus esculentus,Plant,C1116542,,,
